case_id,activity,start_timestamp,complete_timestamp
1,Receive Order,2025-12-20 07:41:15.346645,2025-12-20 07:44:15.346645
1,Validate Order,2025-12-20 07:44:15.346645,2025-12-20 07:48:15.346645
1,Approve Order,2025-12-20 07:48:15.346645,2025-12-20 07:52:15.346645
1,Execute Order,2025-12-20 07:52:15.346645,2025-12-20 08:00:15.346645
1,Close Order,2025-12-20 08:00:15.346645,2025-12-20 08:02:15.346645
2,Receive Order,2025-12-30 17:25:15.346645,2025-12-30 17:27:15.346645
2,Validate Order,2025-12-30 17:27:15.346645,2025-12-30 17:32:15.346645
2,Approve Order,2025-12-30 17:32:15.346645,2025-12-30 17:36:15.346645
2,Execute Order,2025-12-30 17:36:15.346645,2025-12-30 17:42:15.346645
2,Close Order,2025-12-30 17:42:15.346645,2025-12-30 17:44:15.346645
3,Receive Order,2026-01-02 12:49:15.346645,2026-01-02 12:52:15.346645
3,Validate Order,2026-01-02 12:52:15.346645,2026-01-02 12:55:15.346645
3,Close Order,2026-01-02 12:55:15.346645,2026-01-02 12:57:15.346645
4,Receive Order,2025-12-16 14:35:15.346645,2025-12-16 14:38:15.346645
4,Validate Order,2025-12-16 14:38:15.346645,2025-12-16 14:40:15.346645
4,Approve Order,2025-12-16 14:40:15.346645,2025-12-16 14:43:15.346645
4,Execute Order,2025-12-16 14:43:15.346645,2025-12-16 14:53:15.346645
4,Close Order,2025-12-16 14:53:15.346645,2025-12-16 14:54:15.346645
5,Receive Order,2025-12-27 18:10:15.346645,2025-12-27 18:13:15.346645
5,Validate Order,2025-12-27 18:13:15.346645,2025-12-27 18:15:15.346645
5,Approve Order,2025-12-27 18:15:15.346645,2025-12-27 18:16:15.346645
5,Execute Order,2025-12-27 18:16:15.346645,2025-12-27 18:24:15.346645
5,Close Order,2025-12-27 18:24:15.346645,2025-12-27 18:25:15.346645
6,Receive Order,2026-01-07 14:50:15.346645,2026-01-07 14:53:15.346645
6,Validate Order,2026-01-07 14:53:15.346645,2026-01-07 14:58:15.346645
6,Approve Order,2026-01-07 14:58:15.346645,2026-01-07 15:00:15.346645
6,Execute Order,2026-01-07 15:00:15.346645,2026-01-07 15:08:15.346645
6,Close Order,2026-01-07 15:08:15.346645,2026-01-07 15:10:15.346645
7,Receive Order,2025-12-30 19:56:15.346645,2025-12-30 19:59:15.346645
7,Validate Order,2025-12-30 19:59:15.346645,2025-12-30 20:02:15.346645
7,Approve Order,2025-12-30 20:02:15.346645,2025-12-30 20:06:15.346645
7,Execute Order,2025-12-30 20:06:15.346645,2025-12-30 20:12:15.346645
7,Close Order,2025-12-30 20:12:15.346645,2025-12-30 20:14:15.346645
8,Receive Order,2025-12-20 19:07:15.346645,2025-12-20 19:10:15.346645
8,Validate Order,2025-12-20 19:10:15.346645,2025-12-20 19:15:15.346645
8,Approve Order,2025-12-20 19:15:15.346645,2025-12-20 19:17:15.346645
8,Execute Order,2025-12-20 19:17:15.346645,2025-12-20 19:26:15.346645
8,Execute Order,2025-12-20 19:26:15.346645,2025-12-20 19:32:15.346645
8,Close Order,2025-12-20 19:32:15.346645,2025-12-20 19:33:15.346645
9,Receive Order,2025-12-25 18:56:15.346645,2025-12-25 18:58:15.346645
9,Validate Order,2025-12-25 18:58:15.346645,2025-12-25 19:00:15.346645
9,Approve Order,2025-12-25 19:00:15.346645,2025-12-25 19:01:15.346645
9,Execute Order,2025-12-25 19:01:15.346645,2025-12-25 19:10:15.346645
9,Close Order,2025-12-25 19:10:15.346645,2025-12-25 19:12:15.346645
10,Receive Order,2025-12-24 20:22:15.346645,2025-12-24 20:25:15.346645
10,Validate Order,2025-12-24 20:25:15.346645,2025-12-24 20:28:15.346645
10,Approve Order,2025-12-24 20:28:15.346645,2025-12-24 20:29:15.346645
10,Execute Order,2025-12-24 20:29:15.346645,2025-12-24 20:37:15.346645
10,Close Order,2025-12-24 20:37:15.346645,2025-12-24 20:38:15.346645
11,Receive Order,2025-12-20 15:04:15.346645,2025-12-20 15:06:15.346645
11,Validate Order,2025-12-20 15:06:15.346645,2025-12-20 15:10:15.346645
11,Close Order,2025-12-20 15:10:15.346645,2025-12-20 15:12:15.346645
12,Receive Order,2026-01-10 14:25:15.346645,2026-01-10 14:28:15.346645
12,Validate Order,2026-01-10 14:28:15.346645,2026-01-10 14:31:15.346645
12,Approve Order,2026-01-10 14:31:15.346645,2026-01-10 14:32:15.346645
12,Execute Order,2026-01-10 14:32:15.346645,2026-01-10 14:37:15.346645
12,Close Order,2026-01-10 14:37:15.346645,2026-01-10 14:39:15.346645
13,Receive Order,2025-12-29 17:09:15.346645,2025-12-29 17:10:15.346645
13,Validate Order,2025-12-29 17:10:15.346645,2025-12-29 17:15:15.346645
13,Approve Order,2025-12-29 17:15:15.346645,2025-12-29 17:18:15.346645
13,Execute Order,2025-12-29 17:18:15.346645,2025-12-29 17:28:15.346645
13,Close Order,2025-12-29 17:28:15.346645,2025-12-29 17:30:15.346645
14,Receive Order,2026-01-08 09:43:15.346645,2026-01-08 09:44:15.346645
14,Validate Order,2026-01-08 09:44:15.346645,2026-01-08 09:49:15.346645
14,Approve Order,2026-01-08 09:49:15.346645,2026-01-08 09:50:15.346645
14,Execute Order,2026-01-08 09:50:15.346645,2026-01-08 09:58:15.346645
14,Close Order,2026-01-08 09:58:15.346645,2026-01-08 09:59:15.346645
15,Receive Order,2026-01-06 09:11:15.346645,2026-01-06 09:14:15.346645
15,Validate Order,2026-01-06 09:14:15.346645,2026-01-06 09:18:15.346645
15,Approve Order,2026-01-06 09:18:15.346645,2026-01-06 09:20:15.346645
15,Execute Order,2026-01-06 09:20:15.346645,2026-01-06 09:26:15.346645
15,Close Order,2026-01-06 09:26:15.346645,2026-01-06 09:28:15.346645
16,Receive Order,2026-01-06 11:43:15.346645,2026-01-06 11:44:15.346645
16,Validate Order,2026-01-06 11:44:15.346645,2026-01-06 11:49:15.346645
16,Approve Order,2026-01-06 11:49:15.346645,2026-01-06 11:50:15.346645
16,Execute Order,2026-01-06 11:50:15.346645,2026-01-06 11:58:15.346645
16,Close Order,2026-01-06 11:58:15.346645,2026-01-06 12:00:15.346645
17,Receive Order,2025-12-29 01:09:15.346645,2025-12-29 01:10:15.346645
17,Validate Order,2025-12-29 01:10:15.346645,2025-12-29 01:15:15.346645
17,Approve Order,2025-12-29 01:15:15.346645,2025-12-29 01:16:15.346645
17,Execute Order,2025-12-29 01:16:15.346645,2025-12-29 01:26:15.346645
17,Close Order,2025-12-29 01:26:15.346645,2025-12-29 01:27:15.346645
18,Receive Order,2026-01-03 01:11:15.346645,2026-01-03 01:13:15.346645
18,Validate Order,2026-01-03 01:13:15.346645,2026-01-03 01:18:15.346645
18,Close Order,2026-01-03 01:18:15.346645,2026-01-03 01:19:15.346645
19,Receive Order,2026-01-11 08:10:15.346645,2026-01-11 08:13:15.346645
19,Validate Order,2026-01-11 08:13:15.346645,2026-01-11 08:15:15.346645
19,Approve Order,2026-01-11 08:15:15.346645,2026-01-11 08:16:15.346645
19,Execute Order,2026-01-11 08:16:15.346645,2026-01-11 08:23:15.346645
19,Close Order,2026-01-11 08:23:15.346645,2026-01-11 08:25:15.346645
20,Receive Order,2026-01-03 17:24:15.346645,2026-01-03 17:26:15.346645
20,Validate Order,2026-01-03 17:26:15.346645,2026-01-03 17:29:15.346645
20,Approve Order,2026-01-03 17:29:15.346645,2026-01-03 17:31:15.346645
20,Execute Order,2026-01-03 17:31:15.346645,2026-01-03 17:37:15.346645
20,Close Order,2026-01-03 17:37:15.346645,2026-01-03 17:38:15.346645
21,Receive Order,2025-12-28 21:56:15.346645,2025-12-28 21:57:15.346645
21,Validate Order,2025-12-28 21:57:15.346645,2025-12-28 22:00:15.346645
21,Approve Order,2025-12-28 22:00:15.346645,2025-12-28 22:01:15.346645
21,Execute Order,2025-12-28 22:01:15.346645,2025-12-28 22:10:15.346645
21,Close Order,2025-12-28 22:10:15.346645,2025-12-28 22:11:15.346645
22,Receive Order,2025-12-20 11:54:15.346645,2025-12-20 11:57:15.346645
22,Validate Order,2025-12-20 11:57:15.346645,2025-12-20 12:01:15.346645
22,Approve Order,2025-12-20 12:01:15.346645,2025-12-20 12:05:15.346645
22,Execute Order,2025-12-20 12:05:15.346645,2025-12-20 12:14:15.346645
22,Execute Order,2025-12-20 12:14:15.346645,2025-12-20 12:20:15.346645
22,Close Order,2025-12-20 12:20:15.346645,2025-12-20 12:21:15.346645
23,Receive Order,2026-01-01 18:45:15.346645,2026-01-01 18:47:15.346645
23,Validate Order,2026-01-01 18:47:15.346645,2026-01-01 18:51:15.346645
23,Approve Order,2026-01-01 18:51:15.346645,2026-01-01 18:52:15.346645
23,Execute Order,2026-01-01 18:52:15.346645,2026-01-01 19:00:15.346645
23,Close Order,2026-01-01 19:00:15.346645,2026-01-01 19:02:15.346645
24,Receive Order,2025-12-25 19:29:15.346645,2025-12-25 19:32:15.346645
24,Validate Order,2025-12-25 19:32:15.346645,2025-12-25 19:35:15.346645
24,Approve Order,2025-12-25 19:35:15.346645,2025-12-25 19:37:15.346645
24,Execute Order,2025-12-25 19:37:15.346645,2025-12-25 19:42:15.346645
24,Close Order,2025-12-25 19:42:15.346645,2025-12-25 19:44:15.346645
25,Receive Order,2025-12-31 01:47:15.346645,2025-12-31 01:48:15.346645
25,Validate Order,2025-12-31 01:48:15.346645,2025-12-31 01:50:15.346645
25,Approve Order,2025-12-31 01:50:15.346645,2025-12-31 01:53:15.346645
25,Execute Order,2025-12-31 01:53:15.346645,2025-12-31 02:02:15.346645
